TeamNames,Year,Seed,Sweet Sixteen,Placement,ADJOE,ADJDE,efg%,efgd%,tor,tord,orb,drb,ftr,ftrd,2p%,2pd%,3p%,3pd%,adjt,wab,AdjEM-KP,AdjO-KP,AdjD-KP,AdjT-KP,Luck-KP,AdjEM-SOS-KP,AdjO-SOS-KP,AdjD-SOS-KP,AdjEM-NCSOS-KP
UC Santa Barbara,2009,17,0,NoTourney,98.1,98,49.8,51.2,23.3,24.2,32.7,31.5,39.5,39.3,49.5,48.6,33.5,37.3,66.5,-8.8,-0.09,99.8,99.9,65,-0.006,-1.37,103,104.4,0.9
College of Charleston,2009,17,0,NoTourney,106.6,106.6,54.1,49.6,18,19.4,33.4,36,32,27.8,52.3,48.4,38.2,35,68.3,-3.5,1.4,110,108.6,66.2,0.085,-6.68,100.2,106.9,-5.89
Morgan St.,2009,15,0,R64,97.9,98,46.4,44.7,19.5,22.8,38.4,32.9,33.1,41.7,44.9,44.6,33.7,30.2,66.5,-5.8,0.99,100.1,99.1,65.5,0.031,-7.43,98.2,105.7,4.82
San Diego,2009,17,0,NoTourney,96.4,96.6,47.6,47.7,20.8,22.8,28.5,33.7,33.1,39,46.5,45.7,33.6,35,63.3,-7.8,0.11,98.4,98.3,62.1,0.015,1.53,103.8,102.2,4.25
Eastern Kentucky,2009,17,0,NoTourney,110.5,110.8,56.2,53,18.2,22.8,31.5,40.6,28.4,31.4,52.1,52.5,40.6,35.8,60.7,-8.2,0.9,112.6,111.7,59.4,-0.031,-4.5,101.3,105.8,-2.32
Colorado St.,2009,17,0,NoTourney,106.1,106.5,48.5,55.3,19.9,20.1,31.6,31.2,38.6,38.8,46.3,55,35.4,37.2,67.9,-12,-1.37,107,108.4,66.4,-0.057,5.13,105.3,100.2,0.65
Texas A&M Corpus Chris,2009,17,0,NoTourney,98,98.4,46.8,48.3,24.7,22,37,32.4,41.7,38.6,46.8,49.2,31.1,31,67.9,-8,0.2,100,99.8,66.4,0.033,0.81,102.6,101.7,7.27
Morehead St.,2009,16,0,R64,100,100.6,47.8,48.4,22.6,18.1,39.5,29.5,42.7,38.9,47.4,45.8,32.6,35.4,66.6,-9.3,0.76,102,101.3,65.3,0.015,-1.9,103.6,105.5,3.49
Long Beach St.,2009,17,0,NoTourney,103.2,103.9,51.3,51.7,20.7,19.9,31,32.2,37.6,38.6,52.3,50.1,33,36.4,67.1,-8.2,-0.51,104.5,105,65.9,0.048,0.43,104.2,103.8,4.73
Middle Tennessee,2009,17,0,NoTourney,102,102.9,48.5,51.1,18,21.9,35.2,28.8,38.9,44.9,49.6,49.3,30.4,36.7,64.8,-9.2,-0.07,104.5,104.6,63.3,-0.044,-4.2,102.2,106.4,-3.38
Rider,2009,17,0,NoTourney,103.8,104.7,50.3,49.4,19.9,20.3,32.2,33.6,33.1,35.1,48.9,48,35.3,34.7,69,-6.9,-1.25,105.1,106.3,67.8,0.055,-3.18,99.3,102.5,-6.21
Boston University,2009,17,0,NoTourney,101.9,102.8,50.5,48.3,20.6,20.5,32.8,34.7,35.1,32.1,47.6,48.1,36.1,32.5,64.3,-8.8,-0.59,104.4,104.9,62.7,0.003,-5.22,100,105.2,-3.11
Fairfield,2009,17,0,NoTourney,101.7,102.7,47.8,48.7,20.3,19.6,33,34.3,36,33.2,46.7,49.1,33.3,31.9,65.1,-7.3,-0.77,103.2,104,63.6,0.08,0.28,101.3,101.1,3.26
Binghamton,2009,15,0,R64,100.6,101.5,49.4,46.6,19.7,21.6,31.7,35.5,40.8,41.6,49,45.4,33.5,32.9,68.4,-4.5,-0.98,102.3,103.3,67.2,0.13,-5.64,99.6,105.3,-4.08
Nicholls St.,2009,17,0,NoTourney,100,100.9,53.7,51.3,22.7,26,27.3,31.1,40.2,46.2,53.8,52.1,35.7,33.2,60.6,-6.1,-0.46,101.9,102.3,59.1,0.043,-4.14,99.2,103.3,-1.27
Ohio,2009,17,0,NoTourney,99.9,101,50.1,50.4,21.1,22.4,28.9,32.3,39.6,39.4,47.8,50.4,36.2,33.7,66.3,-10.2,-0.58,101.8,102.4,65.1,-0.023,-0.48,101.4,101.9,1.14
Montana,2009,17,0,NoTourney,102.1,103.3,51,47.5,18.7,18,28,32,37.1,39.5,48.6,44.6,37.4,36.3,63.2,-7.2,-0.7,104.1,104.8,61.9,0.03,-3.52,102.1,105.6,1.78
George Washington,2009,17,0,NoTourney,100.9,102.2,49.4,47.7,22.2,18.7,34,35,38.5,37.5,47.2,45.2,36.2,34.2,64.6,-11.4,-2.17,102.2,104.4,63,-0.066,1.4,104,102.6,-3.17
South Alabama,2009,17,0,NoTourney,101.2,102.5,51.2,46.7,21.1,16.5,37.2,31.4,41.8,33.5,49.7,42.5,37.6,36.6,64.7,-7.7,-1.28,102.8,104.1,63.2,0.037,-4.92,101.7,106.6,-5.67
Indiana St.,2009,17,0,NoTourney,102,103.7,48.5,49.9,21.9,19.4,29.1,34.5,35.1,42.3,45.1,48.1,35.3,35.8,64.7,-12.9,-3.36,102.6,105.9,63.3,0.007,2.67,103.8,101.1,-0.54
Hofstra,2009,17,0,NoTourney,96,97.6,44,44.9,22.3,19.9,39.4,31.8,38.1,45.7,42.5,42,31.6,34.1,68.1,-5.3,-0.56,97.9,98.4,67,0.148,-1.39,102,103.4,-1.72
Idaho St.,2009,17,0,NoTourney,101.5,103.2,50.3,49.4,20.3,19,30.6,32.8,38.2,44.3,50.3,47.9,33.5,34.7,63.7,-11.2,-2.64,102.7,105.4,62.6,-0.027,1.48,104.7,103.2,11.13
Holy Cross,2009,17,0,NoTourney,97.1,98.8,47.2,47.9,24.3,23.2,39.9,28.1,37.2,48.5,47.3,46.5,31.4,33.8,65.8,-10,-1.39,98.7,100.1,64.5,-0.027,-6.38,98.5,104.9,-1.59
Troy,2009,17,0,NoTourney,107,108.9,53.3,52.9,17.3,19.4,30.5,33.4,31,29.5,51.4,50.8,37.6,37.4,71,-6.8,-1.42,108.8,110.2,69.9,0.065,-4.21,101.4,105.6,-2.8
IUPUI,2009,17,0,NoTourney,101.6,103.4,51.8,53.1,19.9,21.9,30.6,30.9,35,28.9,52,49.4,34.3,39,62.4,-8.8,-0.79,103.8,104.6,61.2,-0.008,-1.12,103.9,105,3.39
Radford,2009,16,0,R64,99,100.9,49.8,46.9,22.6,16.8,35.3,29.1,42.8,30.1,49.1,44.9,34.5,33.5,70.1,-6.6,-0.86,101.2,102.1,69.2,0.076,-4.54,101,105.5,8.71
Georgia,2009,17,0,NoTourney,94.6,96.4,46.7,48.2,24.6,20.9,34.1,33.1,30.2,28.3,44.6,47.5,34.2,33,69.3,-9.7,-2.95,95.4,98.3,68.1,-0.005,4.82,105,100.2,-5.86
DePaul,2009,17,0,NoTourney,100.7,102.7,45.5,51.9,18.9,19.4,33.3,38.2,31.7,25.7,46.1,51,29.6,35.7,66.3,-10.4,-3.72,102,105.8,64.6,-0.016,9.38,108.4,99,-2.32
San Jose St.,2009,17,0,NoTourney,101.5,103.5,47.9,51,21.8,19.4,36.4,33.1,36.8,30.9,48.9,49.8,29.7,35.7,67.4,-10.9,-2.64,101.6,104.2,66.2,0.014,0.61,103.5,102.9,-1.59
Sacred Heart,2009,17,0,NoTourney,102.9,104.9,55.2,48.7,22.9,21.7,32.6,34.8,26,34.3,53.1,48.6,39.4,32.6,69.6,-10,-2.13,103.9,106,68,-0.058,-8.56,98.4,106.9,-3.69
Manhattan,2009,17,0,NoTourney,95.7,97.7,44.6,48.6,20.7,21.3,34.6,28.8,44.5,39.7,43.5,47.1,31.5,34.3,66.7,-9.5,-2.42,97.6,100,65.4,0.016,-4.01,99.2,103.3,-7.27
St. Bonaventure,2009,17,0,NoTourney,97.3,99.3,49.2,47.2,23.6,19.6,34.6,31.4,37,39.1,49.8,46.2,31.5,32.9,71.5,-8.9,-2.22,98.6,100.8,70.1,0.034,-1.04,102.1,103.1,-7.34
Missouri St.,2009,17,0,NoTourney,98.1,100.2,46.2,49.8,20.8,21.1,32,30.9,38,43.1,45.3,49,31.8,34.5,63.5,-12.5,-2.83,99.4,102.3,62.2,-0.043,1.6,103.7,102.1,-2.6
Stony Brook,2009,17,0,NoTourney,95.6,97.6,46.1,48.8,20.1,23.6,32.1,29.1,35.7,36.9,43.7,50.2,34.4,31.1,64.6,-10.5,-2.36,98.2,100.6,62.8,-0.069,-7.87,97.7,105.6,-9.94
VMI,2009,17,0,NoTourney,105.8,108.1,52.3,55.6,16.2,27.2,27.2,42.1,32.9,30.6,52.3,56.9,34.8,34.8,81.4,-4.9,-0.44,108.5,108.9,80.1,0.074,-6.92,98.4,105.3,-0.5
Hawaii,2009,17,0,NoTourney,95.9,98,45.9,48.5,23.4,21,39.9,33,44.8,39.7,46.8,46.7,28.6,35.2,65.6,-11.9,-4.17,97.2,101.3,63.9,-0.03,-3.56,101.9,105.5,-9.88
SMU,2009,17,0,NoTourney,101.2,103.6,48.6,48.8,22.9,18.6,34.8,33.2,31.2,33.8,46.4,46.2,35.6,35.8,65.2,-12.5,-3.52,101.6,105.1,63.6,-0.069,3.24,104.4,101.2,-3.41
The Citadel,2009,17,0,NoTourney,99.9,102.4,50.7,48.3,20,18.6,31.1,29.5,34.1,36.1,50.6,48,34,32.7,63.4,-7.5,-2.72,102.6,105.3,61.7,0.042,-6.82,100.4,107.2,-4.1
Indiana,2009,17,0,NoTourney,98.1,100.6,47.9,54.6,27,21.4,32.6,32.6,37.4,36.5,46.9,53.2,33.3,38.1,67.1,-11.8,-3.92,99.1,103,65.4,-0.03,11.49,109.1,97.6,4.29
Austin Peay,2009,17,0,NoTourney,105.1,107.8,52.9,52.3,19.5,19.8,32,33.2,37.4,39.6,52,51.2,36.5,36.1,68.3,-7.8,-1.64,107.4,109,66.7,0.056,-2.35,102.3,104.7,4.92
Cal St. Fullerton,2009,17,0,NoTourney,103.8,106.7,49.8,51.8,18.9,21.5,32.1,38.3,32.5,33.2,49.1,50,34,36.9,68.8,-11,-3.24,105.6,108.8,67.2,0.017,-1.14,102.9,104,0.94
Fresno St.,2009,17,0,NoTourney,98.7,101.6,50.2,49.1,21.2,19.9,30.1,35.3,36.5,30.9,49.2,48.8,34.5,33.2,67.8,-13.7,-3.78,99.7,103.5,66.5,-0.043,-0.15,103.7,103.8,-3
East Carolina,2009,17,0,NoTourney,109.2,112.5,51.5,51,18.1,14.5,30.7,35.1,36.5,34.5,47.4,50.9,38.2,34.1,66.1,-10.1,-4.19,110.4,114.6,64.7,-0.02,2.18,104.1,101.9,0.06
Southeastern Louisiana,2009,17,0,NoTourney,99.2,102.3,50,47,20.3,19.7,30.5,33.5,32.9,42.9,50.4,43.5,32.8,37,66.3,-11.5,-2.97,100.5,103.5,65.1,-0.112,-1.22,100.9,102.1,5.95
Northern Colorado,2009,17,0,NoTourney,101.5,104.8,52.4,53.8,22.9,20.5,30.5,28.9,44.7,36.1,48.2,50.8,40.3,39.5,67.9,-13.2,-3.34,103.3,106.7,66.5,-0.075,-2.86,102.4,105.3,-0.38
Denver,2009,17,0,NoTourney,100,103.3,57,49.4,22.1,22.2,18.8,33,36.1,49.3,57.5,50,37.7,31.9,58,-11.9,-3.5,102.7,106.2,56.1,-0.034,-5.11,101.1,106.2,-2.26
UTSA,2009,17,0,NoTourney,100.4,103.8,48.2,52.6,19,23.5,30.2,32.7,39.1,30.2,46.1,54.3,34.2,32.4,70.2,-8.3,-2.26,102,104.3,68.9,0.056,-2.94,101,104,-4.67
Alabama St.,2009,16,0,R68,97.9,101.3,51,43.3,20.5,19.7,34.2,35.9,35.9,33.8,52.2,42.8,32.3,29.7,65.3,-5.1,-2.97,100.7,103.6,63.6,0.025,-11.71,95.4,107.2,9.21
Iona,2009,17,0,NoTourney,93.5,96.8,47,47.9,23.7,23.8,32.1,30.7,47.5,41.4,45.5,47.3,33.2,32.6,65.3,-13.1,-2.73,96,98.7,63.8,-0.065,-1.2,101.1,102.3,0.03
Liberty,2009,17,0,NoTourney,103.8,107.6,52.1,50.7,19.1,20.8,29.9,35,36.2,26.1,51.8,50,35,34.4,66.1,-7.1,-2.79,105.2,108,65.1,0.069,-5.43,100,105.4,3.14
Delaware,2009,17,0,NoTourney,101.6,105.5,47.8,49.3,19.1,19.1,28.6,33,37.9,34.3,46.6,48.7,33.2,33.8,68.5,-13.4,-3.98,102.7,106.6,67,-0.011,-1.93,100.3,102.2,-4.68
Texas St.,2009,17,0,NoTourney,100.4,104.5,49.7,51.1,21.4,22.5,34,31,38.8,57.6,48,50.2,35.3,35.3,75.3,-11.8,-3.89,102.4,106.3,73.9,-0.078,-3.07,101.3,104.4,-3.55
Air Force,2009,17,0,NoTourney,97.5,101.6,50.9,49.8,22.7,19.4,24.4,30.3,42.3,41.4,47.8,48.1,37.1,34.6,59.4,-12.4,-5.7,98.6,104.3,57.8,-0.09,2.3,104.9,102.6,-12.06
UC Irvine,2009,17,0,NoTourney,103.1,107.6,49.4,52.1,18,18.4,27.3,31.7,31.9,37.9,43.9,50.9,40.7,36.5,63.8,-12.5,-4.39,104.1,108.5,62.7,-0.005,-1.69,102.5,104.2,-0.42
Valparaiso,2009,17,0,NoTourney,98.1,102.6,47.5,50.9,23.6,22.3,31.5,34.1,36.1,50.3,46.3,48.5,32.9,36.4,64.9,-14.1,-5.27,99.7,105,63.2,-0.074,3.85,103.8,100,5.71
UC Davis,2009,17,0,NoTourney,103.4,108.3,53.2,52.4,20.5,18.8,25.7,31,37.9,40,52.5,52.3,36.2,35.1,70.6,-14.1,-4.81,105.2,110,69.4,-0.056,-3.53,101.3,104.8,-5.62
Lamar,2009,17,0,NoTourney,98.8,103.5,46.3,49.6,19.8,19,31.9,31.4,42.8,38,46.9,48.2,29.9,35,68,-9.2,-3.96,100.4,104.4,66.4,0.032,-0.08,102.5,102.6,5.62
Youngstown St.,2009,17,0,NoTourney,99.4,104.2,45.7,49.2,20.4,18.8,34.4,34.1,37.1,41,43.7,48,33.9,34.5,67.5,-12.6,-5.19,101.5,106.7,65.7,0.023,1.16,102.3,101.1,-0.86
Chattanooga,2009,16,0,R64,102,107,50.4,52.7,21.5,19.3,33,31.8,46.3,31,49.5,51.3,34.5,36.3,71.2,-9.4,-4.04,104.3,108.4,69.5,0.041,-3.37,102.1,105.5,12.4
Mercer,2009,17,0,NoTourney,103.5,108.6,49,49.9,22,18.2,37,34.9,38.8,33.8,48.6,48,33.2,35.6,68.6,-8.5,-4.4,105.2,109.6,67.4,0.062,-2.47,100.9,103.3,7.4
South Dakota St.,2009,17,0,NoTourney,102.4,107.5,49.7,52.1,19.8,17.3,34,32.3,33.4,32.8,49.2,53.3,33.8,32.8,65.9,-13.5,-4,104.9,108.9,64.6,-0.043,-0.01,104.1,104.1,2.66
UC Riverside,2009,17,0,NoTourney,95.7,100.5,48.2,51.2,21.7,22.4,33.9,28,30.4,33.7,44.7,50.3,37.4,34.9,61.6,-8.5,-4.68,97.5,102.2,59.9,0.096,-3.28,102.3,105.6,-4.69
Rice,2009,17,0,NoTourney,97.9,103.1,48.9,50.4,20.2,18.1,27.7,34.4,33.3,37,44.6,48.1,38.2,36.7,65,-13,-6.1,100.4,106.5,63.5,0.01,3.12,105.6,102.5,1.8
Loyola Chicago,2009,17,0,NoTourney,98,103.3,45,49.6,20.2,21.9,35.9,36.2,32.7,33.7,44,48.1,31.7,35.1,65.1,-10.2,-5.69,99.9,105.6,63.8,0.046,-0.5,101.6,102.1,-6.04
IPFW,2009,17,0,NoTourney,99.7,105.4,49.4,51.5,19.9,19,26.2,32.9,36.4,37,44.3,52.1,40.8,33.5,66.4,-10,-4.29,102.5,106.8,65.3,0.024,0.72,104.1,103.4,7.31
Georgia St.,2009,17,0,NoTourney,96.8,102.3,46.8,50,20,20.8,30.8,33,30,35.2,46.3,49.3,31.8,34.1,61.7,-13.7,-5.6,98.7,104.3,60.1,-0.031,-0.08,102,102,-0.79
Navy,2009,17,0,NoTourney,96,101.5,47.4,46.2,19.4,20.4,27.4,29.9,38,38.7,46.3,45.6,32.9,31.6,70.8,-7.5,-5.2,98.7,103.9,68.7,0.042,-9.11,96.5,105.6,-7.18
Canisius,2009,17,0,NoTourney,92.6,98,45.3,44.3,23.7,19.1,34,34.5,33.9,40.7,46.4,43.6,28.7,30.5,68,-13.4,-6.13,93.9,100,66.5,-0.018,-0.64,101.6,102.2,-0.32
William & Mary,2009,17,0,NoTourney,94.3,99.9,47.2,48.7,22.3,19.8,31.5,31.2,31.5,31.7,47.8,47.8,31,33.5,62.6,-14.8,-6.08,96.5,102.5,60.9,-0.094,-1.72,102,103.8,-5.49
San Francisco,2009,17,0,NoTourney,103.1,109.4,49.1,53.6,19.7,19.6,29.5,33.7,39.7,36.8,46.7,52,35.4,37.7,66,-11.5,-6.93,104.1,111,64.6,0.033,1.88,103.4,101.5,3.72
Loyola MD,2009,17,0,NoTourney,100.8,107.1,44.1,48.4,19.8,19.9,35.7,36.6,36.5,49.7,42.6,48.1,31.5,32.8,67,-12.7,-5.05,102.8,107.8,65.6,0.007,0.08,101.7,101.6,3.71
Southern Utah,2009,17,0,NoTourney,99.1,105.3,50.8,53.7,23.1,20.7,31.3,28.7,39.4,38.9,48.8,55.7,37.9,33,64.2,-13.1,-5.39,102.1,107.5,62.7,-0.048,0.06,104.5,104.4,3.44
Wofford,2009,17,0,NoTourney,105,111.8,51.1,53.4,21,19.7,37.2,34.2,38.9,29.2,49.7,51.7,36,37.6,62.6,-9.3,-5.14,106.3,111.4,61.9,0.06,-4.9,101,105.9,3.5
Arkansas St.,2009,17,0,NoTourney,94,100,46.3,47.6,20.4,19.9,32.3,29.9,33.4,32.1,45.9,44.8,31.4,36.4,65.8,-12.4,-5.23,95.9,101.1,64.3,-0.069,-3.42,102,105.5,-0.01
Campbell,2009,17,0,NoTourney,94.6,100.9,47.6,50.4,22.8,22.5,35.1,32.5,39.9,40.5,45.9,50.2,34.5,34,69.7,-12.6,-6.61,96,102.6,68.7,-0.053,-5.94,101,106.9,-5.18
Montana St.,2009,17,0,NoTourney,99.1,105.8,47.1,52,20.4,17.9,33.9,29.4,39.9,36.1,46.5,51.2,32.1,35.7,66.1,-11.4,-6.11,100.9,107,64.8,0.058,-0.69,103.4,104.1,3.27
Ball St.,2009,17,0,NoTourney,93.2,99.5,45.4,46.5,21.1,19.1,31.2,29.6,38.4,38,43.5,46.7,33.9,30.6,62.2,-12.1,-6.5,95.2,101.7,60.6,0.026,-4.45,99,103.5,-2.2
Central Michigan,2009,17,0,NoTourney,97.1,104,47.3,50,22.3,23.8,34.6,33.5,37.8,57.4,45.8,48.5,33.6,35.8,64.4,-14.1,-7.71,99,106.7,62.5,-0.024,-5.01,98.5,103.5,-2.04
McNeese St.,2009,17,0,NoTourney,92.6,99.3,46.4,44.4,23.8,18,34.6,32.5,32.6,31.6,45.4,41.9,32.6,33,66.3,-13.3,-5.88,94.1,100,64.8,-0.088,-3.45,100.7,104.1,-1.13
Northern Arizona,2009,17,0,NoTourney,99.4,106.6,53.6,55.7,22.6,20.3,30,28.4,30.9,34.9,53.8,51.6,35.5,42.2,63.9,-13.4,-6.47,101.8,108.3,62.2,-0.132,0.28,104.3,104,9.85
Tennessee Tech,2009,17,0,NoTourney,96.2,103.3,49.3,50.1,21.9,22.4,34.1,36.3,33.3,44.4,47,48.7,36.2,35.7,72.7,-13.5,-6.35,98.1,104.4,71.4,-0.078,-3.4,103,106.4,-1.05
Chicago St.,2009,17,0,NoTourney,104.2,111.9,51.3,52.9,19.9,22.7,37.2,34.1,37.6,45,51.6,51.3,33.8,37.4,75.9,-8.2,-6.02,106,112,74.2,0.015,-10.5,96.7,107.2,-2.74
Western Carolina,2009,17,0,NoTourney,98.4,105.7,49.6,54.5,21.1,23.8,36.7,34,32.4,52.1,47.9,52.2,35.1,39,69,-9.9,-6.58,100.7,107.3,67.7,0.051,-4.92,101.9,106.8,5.69
LIU Brooklyn,2009,17,0,NoTourney,98.7,106.1,46.4,49,19.1,19.4,35.5,29.6,42.5,32.4,44.2,48.2,33.9,33.7,68.9,-11.3,-6.74,100.6,107.4,67.4,-0.035,-10.91,96.3,107.2,-8.17
Louisiana Lafayette,2009,17,0,NoTourney,96.6,103.9,47,50.7,20.5,21,31.6,35.1,33.6,46.6,46.4,48.9,31.9,36.8,67.2,-14.4,-8.03,97.3,105.4,66,-0.046,-2.3,102.2,104.5,4.41
Albany,2009,17,0,NoTourney,95.4,102.8,45.5,49.2,23.1,18.8,38.6,25,34.4,43.5,46,49.8,29.4,32.1,66.1,-10.6,-6.99,97.3,104.3,64.3,0.046,-4.91,100.3,105.2,-3.46
Eastern Washington,2009,17,0,NoTourney,95.9,103.4,47,51.6,19.5,19.1,30.1,28.8,30.4,43.6,46,51.2,32.8,34.9,65.3,-10.8,-7.74,97.7,105.4,63.6,0.051,-0.57,103.6,104.1,5.81
Gardner Webb,2009,17,0,NoTourney,99.1,106.9,49.1,51.2,20.4,19.4,34.1,33,31.5,38.4,47.2,51.7,34.8,33.5,69.5,-12,-5.9,101.6,107.5,68.5,-0.05,-3.32,101.4,104.8,10.36
Yale,2009,17,0,NoTourney,93.7,101,47.7,49.5,23.6,22.5,31.1,29.4,40.8,38.4,48.7,48.9,29.8,33.9,67,-11,-6.95,95.3,102.2,65.4,-0.015,-5.77,98.7,104.5,-0.95
Samford,2009,17,0,NoTourney,98.9,106.7,55,50.8,21.6,22.6,21.6,37.2,35.4,30.4,57,50.9,35.3,33.7,59.8,-11.9,-7.34,101.4,108.8,57.8,0.017,-5.67,101.1,106.8,3.13
Western Michigan,2009,17,0,NoTourney,96.6,104.2,45.5,47.3,20.6,18.8,30.7,32.2,40,39.1,44.7,45.6,31.1,33.8,65,-16.1,-7.26,98.3,105.6,63.6,-0.087,-3.95,98.9,102.8,-1.37
Marist,2009,17,0,NoTourney,92.2,99.5,47.1,46.1,22.2,18.2,26.1,31.1,33.9,42,43,45.2,36,32.3,68.4,-16.6,-7.65,94.5,102.1,66.8,-0.056,-1.38,100.5,101.9,-2.39
Centenary,2009,17,0,NoTourney,93.9,101.7,47,51.1,20.1,23.3,26,37.2,31.9,49.6,44,50,34.5,35.7,67.4,-15,-7.3,95.9,103.2,66,-0.048,1.41,105.5,104.1,6.48
Towson,2009,17,0,NoTourney,99.3,107.5,45.7,50,18.9,18.8,33.4,36.8,33.4,34.6,45.2,50.6,31.2,32.5,67.3,-14.9,-7.99,101.2,109.2,65.7,0.03,-0.01,101.3,101.3,-1.23
Harvard,2009,17,0,NoTourney,100.7,109.1,52.4,51.2,21.7,21.3,26.8,34.7,42.3,32.9,51.4,50,36.2,36.2,66.6,-10.8,-7.76,102.4,110.1,65.1,0.041,-6.38,98,104.4,-2.98
Stetson,2009,17,0,NoTourney,94.6,102.5,44.7,50.1,20.5,21.3,33.3,33.1,29.9,39.3,43.2,49.7,31.3,34,68.2,-10.6,-7.87,96.2,104,67.2,0.015,-2.56,100.8,103.4,14.92
Cal Poly,2009,17,0,NoTourney,96.6,104.8,46.5,51.9,17.7,19.7,28.6,33.5,30.5,30.4,44.1,49.7,33.9,37.5,66.8,-15.4,-9.52,97.6,107.1,65.1,-0.1,-3.07,102.7,105.7,-5.44
Jackson St.,2009,17,0,NoTourney,96,104.2,47.1,49.8,22.3,22,36.1,32.5,42.9,40.1,49.7,48.9,26.8,34.5,69.3,-8.3,-7.1,98.1,105.2,67.8,0.059,-8.5,97.6,106.1,13.97
FIU,2009,17,0,NoTourney,96.1,104.3,47.4,50.5,22.6,19.1,32.2,32.5,38.9,36.1,44.5,49.2,35.7,35.4,65.7,-12.4,-8.84,97.3,106.1,64.2,0.049,-1.44,103.3,104.7,3.95
Appalachian St.,2009,17,0,NoTourney,100.2,108.8,51.3,51.4,24.4,17,37.4,28.4,41.1,40.4,49.1,50.5,36.9,35.6,70.5,-13.6,-8.1,101.5,109.6,69.7,-0.005,-5.31,101.1,106.4,2.23
Princeton,2009,17,0,NoTourney,94.4,102.7,50,44.7,22.3,19.9,26.3,30.7,30,42.9,46.2,45.1,37.4,29.1,58.9,-11.6,-8.72,95.5,104.3,57.6,-0.034,-9.17,96.7,105.9,-8.95
UMBC,2009,17,0,NoTourney,100.1,108.9,46.3,51.5,15.2,18.1,28.4,33.3,33.8,30.9,46.2,50.2,31,35.9,64.6,-11.7,-8.56,101.9,110.5,63.6,0.092,-3.24,100.6,103.8,-0.89
Saint Peter's,2009,17,0,NoTourney,92.5,100.7,44.4,47.4,23.6,24.4,35.4,37.6,38.4,43.8,41.7,46.1,34.3,33.1,64.1,-14.4,-9.56,93.6,103.2,62.6,0.024,-3.67,99.7,103.4,-8.82
New Hampshire,2009,17,0,NoTourney,95.1,103.6,45,48.9,20.5,18.8,33.1,27.9,31.5,48.7,42.6,48.6,32.1,33,63.7,-12,-8.46,97.2,105.6,62.1,0.043,-5.14,99.9,105.1,-5.08
Cal St. Bakersfield,2009,17,0,NoTourney,97.8,107.1,45.1,52.1,19.6,21.1,34,37.7,36,37.3,43.2,49.5,32.3,38.7,66.4,-14.5,-9.69,100.1,109.8,64.8,0.011,-1,103.1,104.1,-0.86
Presbyterian,2009,17,0,NoTourney,90.2,98.7,48.1,49.2,25.5,20.8,29.5,31.7,36,32.4,48.7,49.1,31.4,33,62.7,-11.2,-7.84,93.7,101.6,60.4,0.044,-2.58,101.6,104.2,9.42
Jacksonville St.,2009,17,0,NoTourney,98.1,107.5,48,52.1,20.3,19.7,35.5,32.2,40.6,37.7,44.6,51,37.6,36.5,65.9,-12.6,-7.87,100.4,108.3,64.3,-0.033,-2.65,103.4,106,3.07
Penn,2009,17,0,NoTourney,94.6,103.8,47.1,49.8,20.8,21.3,28.8,32,38.9,39.9,47.1,47.3,31.4,36.9,68.6,-13,-9.7,96.1,105.8,67.2,-0.032,-5.05,99.1,104.1,0.34
Lehigh,2009,17,0,NoTourney,91.3,100.2,43.4,44.8,19.8,19.6,31.7,27.6,38.9,34.4,41.4,42.6,32,32.4,67.9,-11.5,-8.84,93.9,102.8,66,-0.016,-10.4,94.9,105.3,-11.69
Coppin St.,2009,17,0,NoTourney,97.2,107,45.8,50.8,19.2,24.2,29.7,40,31.1,31.4,43.8,51.4,33.7,33.3,65.5,-11.8,-9.12,98.4,107.6,64.5,0.005,-4.9,98.2,103.1,13.05
UNC Asheville,2009,17,0,NoTourney,99.4,109.8,50.3,52.6,22.5,19.8,31.3,37.3,36.6,34.8,47.8,51.3,36.6,36.8,69.7,-10.6,-8.64,102.1,110.7,67.7,0.065,-3.5,101.1,104.6,13.06
Columbia,2009,17,0,NoTourney,90.3,100.1,45.1,46.2,21.6,23.2,30.9,31.4,34.9,40,44,46.5,31.7,30.6,65.6,-12.9,-10.85,90.9,101.7,64.2,-0.024,-9.19,97.3,106.5,-9.33
Detroit,2009,17,0,NoTourney,89.3,99.1,45,50.2,26.4,21.8,32.8,32.9,39.3,45.6,45.9,47.6,28.1,37,65.1,-15.4,-9.54,91.4,101,63.9,-0.004,2.95,103.9,101,1.6
South Carolina St.,2009,17,0,NoTourney,95.4,106,48.8,47.2,25.3,18.8,36.8,30.8,37.6,32.3,49.3,47,31.5,31.8,69.5,-11.4,-10.24,96.4,106.6,68.5,-0.014,-11.92,93.9,105.8,-4.07
Tennessee St.,2009,17,0,NoTourney,99.8,110.9,49.7,51.8,22.2,19.1,34.3,36.3,39.3,38.8,49.7,52.5,33.2,33.6,70.2,-12.3,-9.86,101.6,111.4,68.6,0.059,-3.04,102.1,105.1,-0.39
Wagner,2009,17,0,NoTourney,95.2,105.9,51.5,49.8,22.1,22.1,30.2,32,36.4,35.4,48.1,48.5,38.4,35,68,-11.2,-10.42,97.6,108,66.5,0.056,-11.18,95.9,107.1,-13.35
